mse:0.3528052866458893, mae:0.3995286226272583, dtw:Not calculated
mse:0.39997053146362305, mae:0.428988516330719, dtw:Not calculated
mse:0.3759514391422272, mae:0.41898250579833984, dtw:Not calculated
mse:0.39647629857063293, mae:0.4301493167877197, dtw:Not calculated
mse:0.35823261737823486, mae:0.4054087698459625, dtw:Not calculated
mse:0.42650657892227173, mae:0.44938796758651733, dtw:Not calculated
mse:0.3617747724056244, mae:0.4055902659893036, dtw:Not calculated
mse:0.4201488792896271, mae:0.442417711019516, dtw:Not calculated
mse:0.37265464663505554, mae:0.4141351878643036, dtw:Not calculated
mse:0.4222063720226288, mae:0.44183218479156494, dtw:Not calculated
mse:0.3553491532802582, mae:0.40423160791397095, dtw:Not calculated
mse:0.43354642391204834, mae:0.45528584718704224, dtw:Not calculated
