"V1","V2","V3","V4","V5","V6","V7","V8"
1,1,1,1,1,1,1,1
0.933,0.908222222222225,0.910999999999999,0.894727272727275,0.893,0.901538461538462,0.906857142857144,0.882133333333337
0.9395,0.913777777777781,0.906799999999999,0.914181818181821,0.909833333333334,0.913538461538461,0.870571428571427,0.849466666666671
1,1,1,1,1,1,1,1
0.9355,0.915111111111114,0.914399999999998,0.900909090909094,0.901833333333334,0.907846153846154,0.913285714285713,0.886133333333337
0.93275,0.916444444444447,0.904999999999998,0.907818181818184,0.904166666666667,0.913230769230769,0.871142857142856,0.853333333333337
1,1,1,1,1,1,1,1
0.93325,0.911333333333336,0.917599999999998,0.898000000000004,0.897000000000002,0.909230769230769,0.912857142857142,0.882933333333336
0.936,0.915111111111112,0.901799999999999,0.91018181818182,0.900333333333334,0.912307692307692,0.867714285714284,0.853733333333338
1,1,1,1,1,1,1,1
0.939,0.916222222222226,0.915799999999998,0.896545454545458,0.901500000000001,0.912923076923077,0.918857142857143,0.89346666666667
0.9375,0.916666666666669,0.905599999999999,0.911090909090912,0.901833333333334,0.915538461538462,0.873142857142856,0.850000000000004
