"V1","V2","V3","V4","V5","V6","V7","V8"
1,1,1,1,1,1,1,1
0.9465,0.930222222222225,0.929599999999998,0.91436363636364,0.911666666666668,0.926615384615385,0.93242857142857,0.904800000000003
0.93225,0.920888888888892,0.931999999999998,0.925090909090912,0.924833333333335,0.935999999999999,0.911428571428571,0.882000000000003
1,1,0.9998,1,1,1,1,1
0.94125,0.926888888888892,0.926399999999998,0.906181818181822,0.907333333333334,0.921538461538461,0.930571428571428,0.904933333333337
0.933,0.929777777777781,0.931599999999998,0.922545454545457,0.924833333333334,0.935692307692307,0.91,0.88106666666667
1,1,0.9998,1,1,1,1,1
0.948,0.932666666666669,0.933799999999998,0.912363636363639,0.913666666666667,0.927384615384615,0.936999999999999,0.905200000000003
0.9235,0.917333333333337,0.929599999999997,0.921454545454549,0.925166666666669,0.935692307692306,0.917,0.881333333333337
1,1,1,1,1,1,1,1
0.94225,0.92866666666667,0.931199999999998,0.908181818181821,0.907000000000001,0.920461538461538,0.926857142857143,0.89826666666667
0.93025,0.925555555555558,0.930999999999998,0.922363636363638,0.921166666666668,0.932461538461538,0.906714285714285,0.878400000000004
