"V1","V2","V3","V4","V5","V6","V7","V8"
1,1,1,1,1,1,1,1
0.945,0.934000000000002,0.934399999999998,0.914000000000003,0.910166666666667,0.925230769230769,0.932714285714286,0.902000000000003
0.93775,0.92977777777778,0.935599999999998,0.928363636363639,0.927333333333334,0.942307692307691,0.916142857142857,0.882933333333337
1,1,1,1,1,1,1,1
0.9485,0.933777777777781,0.934399999999998,0.911090909090912,0.9115,0.925692307692307,0.935857142857142,0.90746666666667
0.939,0.93377777777778,0.939999999999998,0.926909090909094,0.930166666666668,0.943999999999998,0.917,0.887733333333337
1,1,1,1,1,1,1,1
0.95025,0.935555555555558,0.937399999999998,0.908545454545458,0.909500000000002,0.926153846153845,0.933000000000001,0.906133333333336
0.94325,0.938000000000003,0.937199999999998,0.928363636363639,0.923833333333335,0.942615384615383,0.915,0.886266666666671
1,1,1,1,1,1,1,1
0.9525,0.937333333333337,0.934399999999998,0.909454545454549,0.911,0.927692307692307,0.936714285714285,0.908933333333337
0.938,0.932000000000003,0.937199999999998,0.925090909090912,0.922000000000001,0.939076923076922,0.913,0.880133333333337
